request_id,phase_id,cache_hit_rate,context_size,cached_tokens,unique_tokens,output_tokens,ttft,ttlt,generation_time,total_time,launch_time,finish_time,concurrency_level,itl,prefill_complete_time,token_timestamps,tokens_per_chunk
P6_c28_r2,SUSTAINED_P6,97,64000,61952,2048,1,0.9780945777893066,0.9780945777893066,0.00047397613525390625,0.9785706996917725,1766196718.9408684,1766196719.919439,28,0.0,1766196719.918963,[1766196719.9189637],[1]
P6_c28_r0,SUSTAINED_P6,97,64000,61952,2048,1,0.47228097915649414,0.47228097915649414,0.0008215904235839844,0.47310757637023926,1766196718.856814,1766196719.3299215,28,0.0,1766196719.329095,[1766196719.329096],[1]
P6_c28_r1,SUSTAINED_P6,97,64000,61952,2048,1,1.0181596279144287,1.0181596279144287,0.001566171646118164,1.0197296142578125,1766196718.899615,1766196719.9193447,28,0.0,1766196719.9177747,[1766196719.9177756],[1]
P6_c28_r3,SUSTAINED_P6,97,64000,61952,2048,1,0.9365367889404297,0.9365367889404297,0.0009293556213378906,0.9374690055847168,1766196718.9819305,1766196719.9193995,28,0.0,1766196719.9184673,[1766196719.918468],[1]
P6_c28_r6,SUSTAINED_P6,97,64000,61952,2048,1,1.612398624420166,1.612398624420166,0.0009913444519042969,1.613393783569336,1766196719.1067822,1766196720.720176,28,0.0,1766196720.7191808,[1766196720.7191815],[1]
P6_c28_r4,SUSTAINED_P6,97,64000,61952,2048,1,1.696026086807251,1.696026086807251,0.001165151596069336,1.6971955299377441,1766196719.0223293,1766196720.7195249,28,0.0,1766196720.7183554,[1766196720.7183561],[1]
P6_c28_r5,SUSTAINED_P6,97,64000,61952,2048,1,1.6558661460876465,1.6558661460876465,0.03678107261657715,1.6926538944244385,1766196719.0640056,1766196720.7566595,28,0.0,1766196720.7198718,[1766196720.7198725],[1]
P6_c28_r8,SUSTAINED_P6,97,64000,61952,2048,1,2.3550353050231934,2.3550353050231934,0.0012271404266357422,2.356266498565674,1766196719.1899827,1766196721.5462492,28,0.0,1766196721.545018,[1766196721.545019],[1]
P6_c28_r7,SUSTAINED_P6,97,64000,61952,2048,1,2.3973135948181152,2.3973135948181152,0.0015325546264648438,2.3988499641418457,1766196719.1485384,1766196721.5473883,28,0.0,1766196721.545852,[1766196721.545853],[1]
P6_c28_r9,SUSTAINED_P6,97,64000,61952,2048,1,2.313188314437866,2.313188314437866,0.037432193756103516,2.3506264686584473,1766196719.2334106,1766196721.584037,28,0.0,1766196721.546599,[1766196721.5465999],[1]
P6_c28_r10,SUSTAINED_P6,97,64000,61952,2048,1,2.2685601711273193,2.2685601711273193,0.03699994087219238,2.3055646419525146,1766196719.2785423,1766196721.584107,28,0.0,1766196721.5471025,[1766196721.5471036],[1]
P6_c28_r12,SUSTAINED_P6,97,64000,61952,2048,1,2.9755046367645264,2.9755046367645264,0.0011835098266601562,2.9766924381256104,1766196719.3738194,1766196722.3505118,28,0.0,1766196722.349324,[1766196722.349325],[1]
P6_c28_r14,SUSTAINED_P6,97,64000,61952,2048,1,2.888672113418579,2.888672113418579,0.0015578269958496094,2.8902339935302734,1766196719.4614859,1766196722.3517199,28,0.0,1766196722.350158,[1766196722.350159],[1]
P6_c28_r11,SUSTAINED_P6,97,64000,61952,2048,1,3.026337146759033,3.026337146759033,0.03729128837585449,3.0636348724365234,1766196719.3245225,1766196722.3881574,28,0.0,1766196722.3508596,[1766196722.3508608],[1]
P6_c28_r13,SUSTAINED_P6,97,64000,61952,2048,1,2.9347715377807617,2.9347715377807617,0.036836862564086914,2.9716131687164307,1766196719.4166133,1766196722.3882265,28,0.0,1766196722.3513849,[1766196722.3513863],[1]
P6_c28_r18,SUSTAINED_P6,97,64000,61952,2048,1,3.5036544799804688,3.5036544799804688,0.0015714168548583984,3.5052287578582764,1766196719.6370895,1766196723.1423182,28,0.0,1766196723.140744,[1766196723.1407444],[1]
P6_c28_r16,SUSTAINED_P6,97,64000,61952,2048,1,3.5880110263824463,3.5880110263824463,0.0005965232849121094,3.5886106491088867,1766196719.5537987,1766196723.1424093,28,0.0,1766196723.1418097,[1766196723.141811],[1]
P6_c28_r15,SUSTAINED_P6,97,64000,61952,2048,1,3.633450508117676,3.633450508117676,0.0022568702697753906,3.635712146759033,1766196719.5064251,1766196723.1421373,28,0.0,1766196723.1398757,[1766196723.1398768],[1]
P6_c28_r17,SUSTAINED_P6,97,64000,61952,2048,1,3.5458524227142334,3.5458524227142334,0.0010881423950195312,3.546943426132202,1766196719.5954232,1766196723.1423666,28,0.0,1766196723.1412756,[1766196723.1412766],[1]
P6_c28_r22,SUSTAINED_P6,97,64000,61952,2048,1,4.135011196136475,4.135011196136475,0.0011882781982421875,4.136203765869141,1766196719.8172774,1766196723.9534812,28,0.0,1766196723.9522886,[1766196723.9522898],[1]
P6_c28_r21,SUSTAINED_P6,97,64000,61952,2048,1,4.181539297103882,4.181539297103882,0.0015244483947753906,4.18306827545166,1766196719.7715857,1766196723.954654,28,0.0,1766196723.953125,[1766196723.9531267],[1]
P6_c28_r20,SUSTAINED_P6,97,64000,61952,2048,1,4.227880239486694,4.227880239486694,0.037461042404174805,4.265348434448242,1766196719.7259412,1766196723.9912896,28,0.0,1766196723.9538214,[1766196723.9538226],[1]
P6_c28_r19,SUSTAINED_P6,97,64000,61952,2048,1,4.271555662155151,4.271555662155151,0.03703045845031738,4.3085901737213135,1766196719.6827664,1766196723.9913566,28,0.0,1766196723.954322,[1766196723.954323],[1]
P6_c28_r25,SUSTAINED_P6,97,64000,61952,2048,1,4.793996095657349,4.793996095657349,0.0006155967712402344,4.794616222381592,1766196719.9578378,1766196724.752454,28,0.0,1766196724.751834,[1766196724.751835],[1]
